id,borought,type,latitude,longitude,price,rating
13050,Brooklyn,Entire home/apt,40.68554,-73.9409,115,regular
13394,Brooklyn,Private room,40.69142,-73.97376,80,high
13808,Brooklyn,Private room,40.68043,-73.93934,80,high
14287,Manhattan,Entire home/apt,40.78635,-73.97008,151,regular
14290,Brooklyn,Entire home/apt,40.7042,-73.9356,228,high
14314,Brooklyn,Entire home/apt,40.73506,-73.95392,144,regular
14322,Manhattan,Entire home/apt,40.73961,-73.98074,200,regular
14377,Brooklyn,Entire home/apt,40.70881,-73.9593,150,regular
14991,Manhattan,Private room,40.72004,-73.99104,110,regular
15220,Manhattan,Private room,40.75531,-73.99293,69,regular
15338,Brooklyn,Private room,40.72401,-73.93788,49,low
15341,Manhattan,Entire home/apt,40.7221,-73.99775,180,regular
15385,Brooklyn,Private room,40.71185,-73.96204,80,high
15396,Manhattan,Entire home/apt,40.74623,-73.9953,375,high
15711,Manhattan,Entire home/apt,40.77065,-73.95269,250,regular
16326,Brooklyn,Entire home/apt,40.67811,-73.96428,200,high
16338,Brooklyn,Private room,40.69,-73.96788,55,regular
16421,Manhattan,Private room,40.75979,-73.99119,52,low
16458,Brooklyn,Entire home/apt,40.67343,-73.98338,225,high
16580,Manhattan,Private room,40.72649,-73.97904,80,regular
16595,Brooklyn,Entire home/apt,40.70933,-73.96792,275,high
16821,Manhattan,Private room,40.72298,-73.98474,99,regular
16974,Manhattan,Entire home/apt,40.80164,-73.93922,225,regular
17037,Manhattan,Entire home/apt,40.72162,-73.98008,230,regular
17092,Manhattan,Private room,40.76342,-73.98865,51,low
17693,Manhattan,Private room,40.83139,-73.94095,65,low
17747,Brooklyn,Private room,40.68346,-73.96374,105,high
18127,Manhattan,Entire home/apt,40.72828,-73.98801,190,regular
18152,Manhattan,Private room,40.76865,-73.95058,200,very high
18198,Queens,Private room,40.75038,-73.90334,70,regular
18590,Brooklyn,Private room,40.6932,-73.97267,95,high
18728,Manhattan,Private room,40.74138,-74.00197,150,high
18764,Brooklyn,Private room,40.71154,-73.96112,145,very high
19159,Manhattan,Entire home/apt,40.82915,-73.95136,110,low
19169,Manhattan,Entire home/apt,40.71851,-73.98892,285,high
19282,Brooklyn,Entire home/apt,40.65401,-73.96323,130,regular
19319,Manhattan,Private room,40.7114,-73.98794,94,regular
19601,Brooklyn,Entire home/apt,40.69723,-73.99268,800,very high
19812,Brooklyn,Entire home/apt,40.71833,-73.95748,105,regular
20299,Manhattan,Private room,40.72334,-73.9844,60,low
20300,Manhattan,Private room,40.72912,-73.98057,50,low
20611,Brooklyn,Private room,40.71156,-73.96218,85,high
20724,Brooklyn,Private room,40.70032,-73.9383,65,regular
20734,Brooklyn,Entire home/apt,40.68233,-73.97261,131,regular
20755,Brooklyn,Private room,40.68634,-73.966,98,high
20853,Brooklyn,Entire home/apt,40.68035,-73.97162,250,high
20913,Brooklyn,Entire home/apt,40.70984,-73.95775,100,low
21293,Brooklyn,Entire home/apt,40.70093,-73.92609,105,regular
21456,Manhattan,Entire home/apt,40.79764,-73.96177,140,low
21644,Manhattan,Private room,40.82803,-73.94731,89,regular
21794,Manhattan,Private room,40.74008,-74.00271,98,regular
22911,Brooklyn,Entire home/apt,40.68413,-73.92357,125,regular
22918,Manhattan,Private room,40.82279,-73.95139,60,low
23135,Brooklyn,Entire home/apt,40.67967,-74.00154,175,regular
23501,Manhattan,Private room,40.83927,-73.94281,65,low
23686,Manhattan,Entire home/apt,40.73096,-74.00319,500,very high
24143,Brooklyn,Private room,40.71332,-73.94177,101,high
24285,Brooklyn,Entire home/apt,40.66941,-73.98109,220,high
25235,Brooklyn,Entire home/apt,40.68373,-73.92377,125,regular
25406,Brooklyn,Entire home/apt,40.71459,-73.94844,80,low
25696,Manhattan,Private room,40.8092,-73.94421,100,regular
26012,Brooklyn,Entire home/apt,40.68157,-73.98989,200,high
26362,Manhattan,Private room,40.75527,-73.99291,59,low
26520,Brooklyn,Private room,40.68698,-73.96572,125,very high
26559,Manhattan,Entire home/apt,40.7288,-73.98192,140,low
26785,Brooklyn,Entire home/apt,40.66853,-73.98912,120,regular
26933,Manhattan,Entire home/apt,40.7254,-73.98157,350,high
26954,Manhattan,Entire home/apt,40.74294,-73.98009,199,regular
26969,Brooklyn,Entire home/apt,40.71942,-73.95748,325,high
27006,Manhattan,Entire home/apt,40.77823,-73.97637,235,regular
27385,Manhattan,Entire home/apt,40.72555,-73.97965,225,regular
27531,Brooklyn,Private room,40.66831,-73.98604,99,high
27644,Manhattan,Entire home/apt,40.82754,-73.94919,170,regular
27659,Brooklyn,Entire home/apt,40.66499,-73.97925,400,very high
27759,Manhattan,Entire home/apt,40.77842,-73.97556,170,regular
27883,Manhattan,Entire home/apt,40.72245,-73.98527,100,low
28321,Brooklyn,Private room,40.65593,-73.96053,75,regular
28396,Brooklyn,Private room,40.71923,-73.96468,90,high
28907,Manhattan,Entire home/apt,40.778,-73.94822,150,regular
29012,Manhattan,Private room,40.85879,-73.93128,85,regular
29013,Brooklyn,Private room,40.68332,-73.9547,70,regular
29455,Manhattan,Entire home/apt,40.81618,-73.94894,120,low
29628,Brooklyn,Private room,40.68414,-73.96351,89,high
29683,Manhattan,Entire home/apt,40.72392,-73.99143,185,regular
30031,Brooklyn,Private room,40.73494,-73.9503,50,regular
30927,Manhattan,Entire home/apt,40.71341,-73.98856,105,low
31130,Manhattan,Private room,40.76754,-73.98399,130,high
31555,Manhattan,Entire home/apt,40.73442,-74.00303,115,low
31902,Brooklyn,Private room,40.63188,-73.93248,77,regular
31994,Brooklyn,Private room,40.6873,-73.9634,76,regular
32023,Brooklyn,Entire home/apt,40.68296,-73.93662,125,regular
32037,Brooklyn,Private room,40.6863,-73.96765,135,very high
32100,Brooklyn,Entire home/apt,40.73409,-73.95348,250,high
32289,Brooklyn,Entire home/apt,40.71561,-73.94835,199,high
32331,Brooklyn,Entire home/apt,40.6857,-73.99183,140,regular
32363,Queens,Private room,40.74028,-73.83168,140,very high
32965,Brooklyn,Entire home/apt,40.68281,-73.93524,115,regular
32969,Brooklyn,Entire home/apt,40.71596,-73.93938,160,regular
33009,Brooklyn,Entire home/apt,40.71492,-73.95935,195,regular
33014,Manhattan,Entire home/apt,40.72354,-73.98295,195,regular
33223,Brooklyn,Private room,40.71165,-73.96087,80,high
34760,Brooklyn,Private room,40.69101,-73.97312,44,low
35526,Manhattan,Private room,40.73474,-74.00101,156,high
36121,Brooklyn,Private room,40.67386,-73.96641,85,high
36133,Brooklyn,Private room,40.71536,-73.96057,125,very high
36442,Brooklyn,Entire home/apt,40.6741,-73.96595,115,regular
36647,Manhattan,Private room,40.79295,-73.93997,69,regular
36703,Manhattan,Entire home/apt,40.73226,-74.00401,225,regular
36934,Brooklyn,Entire home/apt,40.71363,-73.96398,125,regular
38638,Manhattan,Entire home/apt,40.77711,-73.9527,219,regular
38663,Brooklyn,Entire home/apt,40.68559,-73.98094,475,very high
39267,Manhattan,Entire home/apt,40.77456,-73.95323,99,low
39282,Brooklyn,Private room,40.71088,-73.95055,69,regular
39593,Queens,Private room,40.74559,-73.92313,79,high
39704,Brooklyn,Entire home/apt,40.68306,-73.94659,135,regular
40039,Brooklyn,Private room,40.70207,-73.98571,250,very high
40453,Manhattan,Entire home/apt,40.76123,-73.9642,250,regular
41348,Brooklyn,Entire home/apt,40.66858,-73.99083,250,high
41513,Manhattan,Entire home/apt,40.82704,-73.94907,80,low
42580,Brooklyn,Private room,40.68843,-73.96408,70,regular
42729,Brooklyn,Entire home/apt,40.6783,-74.00135,165,regular
42882,Staten Island,Private room,40.64524,-74.08088,70,regular
43957,Brooklyn,Private room,40.70641,-73.91765,50,regular
44096,Bronx,Private room,40.83232,-73.93184,40,regular
44161,Brooklyn,Entire home/apt,40.71045,-73.9677,150,regular
44212,Manhattan,Private room,40.72518,-73.98034,125,high
44221,Manhattan,Entire home/apt,40.70666,-74.01374,196,regular
44229,Brooklyn,Private room,40.69098,-73.97113,110,high
44288,Manhattan,Entire home/apt,40.73756,-74.00405,170,regular
44506,Manhattan,Entire home/apt,40.81526,-73.94791,165,regular
45393,Manhattan,Entire home/apt,40.73423,-74.0046,150,regular
45542,Manhattan,Entire home/apt,40.82374,-73.9373,100,low
45556,Brooklyn,Private room,40.68863,-73.97691,65,regular
45910,Queens,Entire home/apt,40.70382,-73.89797,350,very high
45936,Manhattan,Private room,40.80549,-73.95924,99,regular
45940,Brooklyn,Entire home/apt,40.71627,-73.9587,200,high
46544,Brooklyn,Entire home/apt,40.67994,-73.97863,150,regular
46723,Brooklyn,Private room,40.67992,-73.9475,90,high
46911,Brooklyn,Private room,40.67868,-73.97307,120,high
47199,Manhattan,Private room,40.76834,-73.95334,75,regular
47362,Brooklyn,Entire home/apt,40.68237,-73.9415,175,regular
47370,Manhattan,Entire home/apt,40.74031,-73.99999,125,low
47926,Manhattan,Entire home/apt,40.76307,-73.99665,275,high
48719,Manhattan,Entire home/apt,40.71882,-73.98852,299,high
50447,Brooklyn,Entire home/apt,40.6693,-73.98804,135,regular
51438,Manhattan,Private room,40.77333,-73.95199,130,high
51485,Manhattan,Private room,40.72319,-73.99201,83,regular
51572,Manhattan,Private room,40.74859,-73.99671,123,high
51850,Queens,Private room,40.67252,-73.76597,55,regular
53137,Manhattan,Entire home/apt,40.76244,-73.99271,195,regular
53196,Brooklyn,Private room,40.69546,-73.93503,80,high
53469,Queens,Entire home/apt,40.71722,-73.87856,98,regular
53470,Queens,Private room,40.70234,-73.89816,140,very high
53477,Queens,Entire home/apt,40.71546,-73.87854,265,high
54158,Brooklyn,Entire home/apt,40.7195,-73.95976,249,high
54453,Manhattan,Shared room,40.76548,-73.98474,105,high
54466,Manhattan,Private room,40.80234,-73.95603,200,very high
54508,Brooklyn,Private room,40.6787,-73.97262,100,high
54544,Manhattan,Entire home/apt,40.81035,-73.94598,121,low
54626,Bronx,Private room,40.83075,-73.93058,45,regular
54860,Manhattan,Private room,40.79958,-73.94275,100,regular
55467,Brooklyn,Entire home/apt,40.71625,-73.93845,140,regular
55498,Brooklyn,Private room,40.6829,-73.93549,71,regular
55668,Manhattan,Private room,40.72773,-73.99134,130,high
55737,Manhattan,Entire home/apt,40.72861,-74.0049,199,regular
55959,Brooklyn,Private room,40.70979,-73.95162,69,regular
55982,Brooklyn,Private room,40.68656,-73.97525,68,regular
56467,Manhattan,Entire home/apt,40.72752,-73.98432,130,low
56525,Brooklyn,Entire home/apt,40.729,-73.95829,195,regular
56859,Manhattan,Private room,40.81219,-73.94499,64,low
57166,Queens,Entire home/apt,40.77185,-73.90502,140,regular
57297,Brooklyn,Entire home/apt,40.68926,-73.99386,159,regular
57468,Manhattan,Entire home/apt,40.72821,-73.98701,189,regular
57618,Manhattan,Entire home/apt,40.7672,-73.98508,250,regular
57740,Manhattan,Entire home/apt,40.73012,-73.99053,239,regular
57754,Manhattan,Entire home/apt,40.7403,-73.98498,305,high
57874,Manhattan,Entire home/apt,40.80931,-73.94343,155,regular
58059,Manhattan,Private room,40.8251,-73.94287,60,low
58062,Brooklyn,Private room,40.6585,-73.98397,135,very high
58467,Manhattan,Private room,40.76193,-73.9501,120,high
59014,Manhattan,Entire home/apt,40.72052,-73.98589,150,regular
59121,Queens,Entire home/apt,40.70411,-73.89934,140,regular
59642,Brooklyn,Entire home/apt,40.73401,-73.95967,135,regular
59709,Manhattan,Entire home/apt,40.71756,-73.99503,250,regular
59855,Manhattan,Entire home/apt,40.7589,-73.96991,250,regular
60164,Manhattan,Entire home/apt,40.72003,-74.00262,500,very high
60457,Manhattan,Entire home/apt,40.73194,-73.99474,225,regular
60611,Manhattan,Entire home/apt,40.79163,-73.94573,125,low
60666,Manhattan,Private room,40.8118,-73.94434,92,regular
60673,Manhattan,Private room,40.81583,-73.94707,175,high
60680,Manhattan,Entire home/apt,40.72654,-73.98049,99,low
60794,Manhattan,Entire home/apt,40.80021,-73.96071,195,regular
60948,Manhattan,Entire home/apt,40.80942,-73.93936,140,low
61167,Manhattan,Entire home/apt,40.71961,-73.9954,135,low
61224,Manhattan,Entire home/apt,40.74358,-74.00027,500,very high
61406,Manhattan,Private room,40.80335,-73.9575,80,regular
61492,Manhattan,Private room,40.71445,-73.9908,120,high
61509,Manhattan,Entire home/apt,40.75749,-73.96897,110,low
62095,Brooklyn,Entire home/apt,40.64446,-73.9503,65,low
62427,Manhattan,Entire home/apt,40.7268,-73.99079,130,low
62430,Brooklyn,Entire home/apt,40.688,-73.9171,99,low
62452,Staten Island,Private room,40.63536,-74.08537,36,low
62461,Staten Island,Private room,40.63627,-74.08543,37,low
62787,Staten Island,Private room,40.63518,-74.08546,37,low
62891,Manhattan,Entire home/apt,40.72477,-73.98161,175,regular
62903,Manhattan,Entire home/apt,40.74238,-73.99567,205,regular
62925,Brooklyn,Entire home/apt,40.72945,-73.95511,285,high
63299,Brooklyn,Private room,40.70763,-73.95177,59,regular
63320,Staten Island,Private room,40.63481,-74.08519,36,low
63360,Queens,Entire home/apt,40.75384,-73.91433,99,regular
63546,Brooklyn,Private room,40.64106,-73.97426,39,low
63573,Brooklyn,Private room,40.66793,-73.98327,60,regular
63588,Bronx,Private room,40.81309,-73.85514,90,high
63610,Bronx,Entire home/apt,40.88057,-73.83572,105,regular
63657,Brooklyn,Entire home/apt,40.68236,-73.94314,135,regular
63693,Manhattan,Entire home/apt,40.72185,-73.98246,390,high
63719,Brooklyn,Private room,40.68503,-73.95385,70,regular
63913,Manhattan,Private room,40.86648,-73.9263,75,regular
64000,Brooklyn,Private room,40.7069,-73.95467,60,regular
64015,Manhattan,Entire home/apt,40.72807,-73.98594,200,regular
64107,Brooklyn,Private room,40.6778,-73.94339,100,high
64277,Brooklyn,Private room,40.68317,-73.94701,70,regular
64314,Brooklyn,Private room,40.6761,-73.9529,110,high
64365,Brooklyn,Private room,40.67586,-73.95155,60,regular
64707,Manhattan,Entire home/apt,40.71702,-73.99811,90,low
64837,Manhattan,Private room,40.72321,-73.98157,68,regular
65019,Manhattan,Entire home/apt,40.77956,-73.98098,115,low
65268,Brooklyn,Private room,40.68276,-73.95264,75,regular
65556,Brooklyn,Private room,40.71368,-73.9626,60,regular
65562,Manhattan,Entire home/apt,40.72956,-73.98158,129,low
65615,Brooklyn,Entire home/apt,40.71069,-73.95175,130,regular
65660,Brooklyn,Entire home/apt,40.70863,-73.94641,95,low
65813,Manhattan,Private room,40.82888,-73.94307,75,regular
65834,Brooklyn,Entire home/apt,40.67319,-73.97323,175,regular
66008,Brooklyn,Entire home/apt,40.67846,-73.99443,190,regular
66026,Brooklyn,Private room,40.6715,-73.94808,49,low
66251,Manhattan,Entire home/apt,40.72681,-73.98534,212,regular
66275,Manhattan,Private room,40.71904,-73.99392,95,regular
66451,Brooklyn,Entire home/apt,40.71031,-73.9583,140,regular
66718,Manhattan,Entire home/apt,40.81322,-73.95306,135,low
66741,Brooklyn,Entire home/apt,40.67732,-73.98225,150,regular
66974,Brooklyn,Entire home/apt,40.68076,-73.9896,190,regular
67288,Manhattan,Entire home/apt,40.79603,-73.94903,124,low
67299,Brooklyn,Entire home/apt,40.71492,-73.96282,135,regular
67397,Manhattan,Private room,40.80393,-73.95838,122,high
68099,Manhattan,Private room,40.80082,-73.9652,109,regular
68305,Manhattan,Private room,40.82976,-73.94867,85,regular
68403,Brooklyn,Entire home/apt,40.683,-73.91981,145,regular
68735,Manhattan,Entire home/apt,40.78971,-73.9729,195,regular
68765,Brooklyn,Entire home/apt,40.67817,-73.99495,250,high
68900,Brooklyn,Private room,40.73119,-73.95578,125,very high
68974,Manhattan,Entire home/apt,40.71943,-73.99627,575,very high
69894,Manhattan,Entire home/apt,40.78,-73.98249,150,regular
69921,Brooklyn,Private room,40.70514,-73.91922,70,regular
70095,Manhattan,Private room,40.86713,-73.92811,90,regular
70128,Manhattan,Private room,40.73198,-73.98881,65,low
70609,Manhattan,Entire home/apt,40.72542,-73.97986,500,very high
71010,Manhattan,Entire home/apt,40.83494,-73.93869,250,regular
71248,Manhattan,Entire home/apt,40.71659,-73.98945,125,low
71366,Manhattan,Entire home/apt,40.72966,-74.00243,200,regular
71384,Brooklyn,Entire home/apt,40.72898,-73.95552,229,high
71812,Bronx,Entire home/apt,40.87207,-73.90193,90,regular
72190,Manhattan,Entire home/apt,40.77728,-73.97818,110,low
72265,Brooklyn,Private room,40.72646,-73.95341,59,regular
74073,Brooklyn,Entire home/apt,40.71015,-73.96101,195,regular
74240,Brooklyn,Entire home/apt,40.71903,-73.9597,169,regular
74333,Manhattan,Entire home/apt,40.80892,-73.93985,113,low
74404,Manhattan,Entire home/apt,40.80276,-73.9567,250,regular
74680,Queens,Entire home/apt,40.77635,-73.93426,115,regular
74860,Brooklyn,Private room,40.72488,-73.95018,55,regular
75193,Brooklyn,Private room,40.71398,-73.95763,69,regular
75635,Manhattan,Entire home/apt,40.71876,-73.98394,150,regular
76761,Brooklyn,Entire home/apt,40.66552,-73.99019,169,regular
77765,Brooklyn,Private room,40.73749,-73.95292,179,very high
77936,Manhattan,Private room,40.76248,-73.9913,150,high
78919,Brooklyn,Entire home/apt,40.68674,-73.98876,135,regular
79067,Brooklyn,Entire home/apt,40.6848,-73.96219,350,very high
79782,Brooklyn,Private room,40.70516,-73.95455,120,high
80493,Manhattan,Private room,40.72329,-73.98486,71,regular
80684,Brooklyn,Private room,40.73776,-73.95327,349,very high
80700,Brooklyn,Private room,40.73738,-73.95482,349,very high
80924,Brooklyn,Entire home/apt,40.67542,-73.98142,165,regular
81739,Brooklyn,Private room,40.73842,-73.95312,249,very high
82549,Brooklyn,Private room,40.6926,-73.99832,100,high
82550,Brooklyn,Entire home/apt,40.69441,-73.99771,200,high
82638,Manhattan,Entire home/apt,40.72399,-73.98374,169,regular
82928,Brooklyn,Entire home/apt,40.6824,-73.94615,185,regular
83243,Brooklyn,Entire home/apt,40.68949,-73.91708,65,low
83446,Brooklyn,Entire home/apt,40.68819,-73.97258,130,regular
83722,Brooklyn,Entire home/apt,40.7205,-73.96015,199,high
83847,Manhattan,Entire home/apt,40.72451,-73.98094,225,regular
84010,Brooklyn,Private room,40.73813,-73.95394,179,very high
84059,Brooklyn,Entire home/apt,40.67591,-73.94715,150,regular
84659,Manhattan,Entire home/apt,40.72843,-73.98895,139,low
84905,Manhattan,Private room,40.71271,-73.99776,95,regular
85094,Brooklyn,Entire home/apt,40.66966,-73.94735,79,low
86215,Manhattan,Entire home/apt,40.71965,-73.98766,150,regular
89427,Brooklyn,Entire home/apt,40.68613,-73.96536,650,very high
89621,Brooklyn,Entire home/apt,40.68048,-73.94911,90,low
93313,Brooklyn,Entire home/apt,40.68314,-73.93963,120,regular
94035,Queens,Private room,40.75961,-73.91117,80,high
94209,Brooklyn,Entire home/apt,40.67473,-73.94494,100,low
94477,Brooklyn,Entire home/apt,40.69305,-73.93185,175,regular
94783,Brooklyn,Entire home/apt,40.67174,-73.95663,120,regular
95747,Brooklyn,Entire home/apt,40.71055,-73.95098,140,regular
95883,Brooklyn,Entire home/apt,40.69465,-73.95458,200,high
96471,Brooklyn,Private room,40.68413,-73.96542,165,very high
98330,Manhattan,Entire home/apt,40.73877,-73.97707,125,low
98663,Manhattan,Entire home/apt,40.74893,-73.99544,130,low
99070,Manhattan,Shared room,40.79406,-73.94102,65,regular
99085,Brooklyn,Entire home/apt,40.68795,-73.97332,123,regular
100002,Manhattan,Private room,40.85295,-73.93361,67,low
100184,Queens,Private room,40.72413,-73.76133,50,regular
100186,Brooklyn,Entire home/apt,40.66918,-73.99187,130,regular
101053,Brooklyn,Private room,40.71125,-73.95613,100,high
102995,Manhattan,Entire home/apt,40.78558,-73.9696,212,regular
103161,Brooklyn,Entire home/apt,40.71577,-73.96053,190,regular
103311,Brooklyn,Private room,40.73861,-73.95485,599,very high
103806,Manhattan,Entire home/apt,40.72577,-73.98745,249,regular
105469,Queens,Private room,40.58615,-73.81245,70,regular
105510,Brooklyn,Entire home/apt,40.67086,-73.94872,100,low
106363,Manhattan,Private room,40.82773,-73.95231,60,low
106647,Brooklyn,Entire home/apt,40.68505,-73.95684,135,regular
107630,Brooklyn,Entire home/apt,40.72911,-73.95493,175,regular
107895,Manhattan,Entire home/apt,40.77944,-73.98567,120,low
110739,Manhattan,Entire home/apt,40.74503,-73.98876,169,regular
112100,Brooklyn,Entire home/apt,40.67539,-73.96093,165,regular
112304,Manhattan,Private room,40.8054,-73.95189,90,regular
112359,Manhattan,Entire home/apt,40.78491,-73.9508,225,regular
112435,Brooklyn,Private room,40.69088,-73.97307,95,high
113265,Brooklyn,Private room,40.67555,-73.95057,55,regular
113945,Manhattan,Private room,40.75835,-73.99193,85,regular
114123,Brooklyn,Entire home/apt,40.66527,-73.9886,199,high
114229,Manhattan,Entire home/apt,40.71895,-73.99434,211,regular
114969,Manhattan,Entire home/apt,40.75579,-73.96699,145,regular
115535,Manhattan,Private room,40.82399,-73.95328,65,low
115678,Manhattan,Entire home/apt,40.81822,-73.94095,99,low
115748,Queens,Entire home/apt,40.76434,-73.92132,110,regular
116940,Brooklyn,Entire home/apt,40.67705,-73.94925,80,low
117425,Brooklyn,Entire home/apt,40.69263,-73.99438,150,regular
118061,Brooklyn,Entire home/apt,40.68448,-73.92747,110,regular
118430,Manhattan,Private room,40.74412,-74.00208,290,very high
118680,Manhattan,Private room,40.73067,-73.98702,87,regular
120362,Brooklyn,Entire home/apt,40.70665,-73.94061,190,regular
121687,Brooklyn,Entire home/apt,40.72063,-73.95952,200,high
121861,Brooklyn,Entire home/apt,40.67644,-73.98082,165,regular
123784,Manhattan,Entire home/apt,40.80481,-73.94794,110,low
125053,Manhattan,Entire home/apt,40.72533,-73.99143,395,high
125163,Brooklyn,Private room,40.68569,-73.93038,99,high
125594,Brooklyn,Private room,40.64302,-73.97255,39,low
126443,Manhattan,Entire home/apt,40.72939,-73.98857,189,regular
126816,Manhattan,Private room,40.79918,-73.96607,85,regular
127387,Brooklyn,Entire home/apt,40.66862,-73.9926,260,high
128975,Manhattan,Entire home/apt,40.81333,-73.94453,122,low
131154,Brooklyn,Entire home/apt,40.72473,-73.95199,165,regular
132516,Queens,Entire home/apt,40.70925,-73.85262,97,regular
132570,Manhattan,Entire home/apt,40.73215,-74.00922,170,regular
132695,Brooklyn,Entire home/apt,40.71109,-73.94332,125,regular
133025,Manhattan,Private room,40.7463,-73.97926,130,high
134934,Brooklyn,Entire home/apt,40.71823,-73.95849,225,high
135393,Brooklyn,Private room,40.651,-73.94886,50,regular
135465,Brooklyn,Entire home/apt,40.68626,-73.97598,170,regular
135706,Manhattan,Entire home/apt,40.74488,-74.001,132,low
136493,Brooklyn,Entire home/apt,40.67632,-73.97616,250,high
138216,Brooklyn,Entire home/apt,40.72212,-73.94254,141,regular
139624,Brooklyn,Entire home/apt,40.67456,-73.95151,64,low
140133,Brooklyn,Entire home/apt,40.71363,-73.96019,249,high
140425,Brooklyn,Private room,40.6755,-73.95878,79,regular
140973,Manhattan,Entire home/apt,40.72274,-73.97581,185,regular
141154,Brooklyn,Entire home/apt,40.6858,-73.9828,120,regular
141335,Brooklyn,Entire home/apt,40.67535,-73.97654,495,very high
141890,Manhattan,Entire home/apt,40.72255,-73.99346,375,high
141984,Manhattan,Entire home/apt,40.72094,-73.99706,175,regular
142069,Manhattan,Entire home/apt,40.72485,-73.97813,150,regular
144087,Manhattan,Entire home/apt,40.80473,-73.9532,259,high
144148,Manhattan,Private room,40.72217,-73.98419,96,regular
145064,Brooklyn,Entire home/apt,40.71943,-73.9565,145,regular
145188,Manhattan,Entire home/apt,40.74249,-74.00329,200,regular
145994,Manhattan,Entire home/apt,40.79264,-73.97294,95,low
146754,Brooklyn,Entire home/apt,40.65749,-73.97675,250,high
147586,Manhattan,Entire home/apt,40.80474,-73.94688,295,high
148201,Manhattan,Entire home/apt,40.72831,-74.00177,175,regular
148259,Brooklyn,Entire home/apt,40.71541,-73.94144,451,very high
148825,Manhattan,Entire home/apt,40.79765,-73.96245,165,regular
149287,Manhattan,Entire home/apt,40.78508,-73.95332,250,regular
149777,Bronx,Entire home/apt,40.89747,-73.8639,77,low
150804,Manhattan,Entire home/apt,40.72008,-73.98404,250,regular
151199,Queens,Entire home/apt,40.75725,-73.91098,129,regular
151478,Brooklyn,Private room,40.7102,-73.94495,98,high
152071,Brooklyn,Entire home/apt,40.67359,-73.97904,150,regular
152078,Manhattan,Private room,40.72674,-73.9782,95,regular
152259,Manhattan,Private room,40.81156,-73.94571,55,low
152263,Manhattan,Entire home/apt,40.80497,-73.95016,300,high
152520,Queens,Private room,40.7385,-73.91806,42,low
153405,Brooklyn,Entire home/apt,40.72937,-73.95671,125,regular
153780,Manhattan,Private room,40.72587,-73.98438,175,high
154934,Manhattan,Private room,40.82426,-73.9463,75,regular
155296,Brooklyn,Entire home/apt,40.71624,-73.96272,255,high
